"CHIIKIKBN","JUSHOCD","CHIIKINAME","JUSHO","IDO","KEIDO"
"1","00100","横山町","東京都八王子市横山町","35.659807","139.336954"
"1","00200","八日町","東京都八王子市八日町","35.660057","139.33115"
"1","00300","八幡町","東京都八王子市八幡町","35.660623","139.32605"
"1","00400","八木町","東京都八王子市八木町","35.661071","139.321762"
"1","00500","追分町","東京都八王子市追分町","35.660687","139.318146"
"1","00601","千人町一丁目","東京都八王子市千人町一丁目","35.65912","139.315654"
"1","00602","千人町二丁目","東京都八王子市千人町二丁目","35.659024","139.311954"
"1","00603","千人町三丁目","東京都八王子市千人町三丁目","35.657889","139.309223"
"1","00604","千人町四丁目","東京都八王子市千人町四丁目","35.656337","139.306919"
"1","00700","日吉町","東京都八王子市日吉町","35.661383","139.313625"
"1","00801","元本郷町一丁目","東京都八王子市元本郷町一丁目","35.664474","139.321523"
"1","00802","元本郷町二丁目","東京都八王子市元本郷町二丁目","35.664518","139.318497"
"1","00803","元本郷町三丁目","東京都八王子市元本郷町三丁目","35.664488999999996","139.316045"
"1","00804","元本郷町四丁目","東京都八王子市元本郷町四丁目","35.665301","139.313082"
"1","00900","平岡町","東京都八王子市平岡町","35.664392","139.32517"
"1","01000","本郷町","東京都八王子市本郷町","35.661867","139.325744"
"1","01100","大横町","東京都八王子市大横町","35.663749","139.329526"
"1","01200","本町","東京都八王子市本町","35.662726","139.33181"
"1","01301","元横山町一丁目","東京都八王子市元横山町一丁目","35.66403","139.339439"
"1","01302","元横山町二丁目","東京都八王子市元横山町二丁目","35.662042","139.337677"
"1","01303","元横山町三丁目","東京都八王子市元横山町三丁目","35.665154","139.333256"
"1","01400","田町","東京都八王子市田町","35.665704","139.335742"
"1","01500","新町","東京都八王子市新町","35.661324","139.340789"
"1","01601","明神町一丁目","東京都八王子市明神町一丁目","35.658368","139.349333"
"1","01602","明神町二丁目","東京都八王子市明神町二丁目","35.656912","139.346722"
"1","01603","明神町三丁目","東京都八王子市明神町三丁目","35.656119","139.343511"
"1","01604","明神町四丁目","東京都八王子市明神町四丁目","35.659993","139.344081"
"1","01701","子安町一丁目","東京都八王子市子安町一丁目","35.652336","139.343187"
