"id","CHIIKIKBN","CHIIKIKBN_NAME","JUSHOCD","JUSHONAME","CHIIKINAME","5SAI","3SEDAI","YEAR","SEX","POPLATION","RESULT_ESTFLG"
596202,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1980",1,"0",0
596204,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1980",2,"0",0
596206,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1985",1,"0",0
596208,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1985",2,"0",0
596210,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1990",1,"0",0
596212,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1990",2,"0",0
596214,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1995",1,"0",0
596216,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"1995",2,"0",0
596218,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2000",1,"1149",0
596220,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2000",2,"1135",0
596222,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2005",1,"1669",0
596224,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2005",2,"1603",0
596226,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2010",1,"1753",0
596228,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2010",2,"1704",0
596230,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2015",1,"2162",0
596232,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2015",2,"2086",0
596234,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2020",1,"2172",0
596236,5,"事務所管轄","10","市民課","東京都八王子市万町","00",1,"2020",2,"1982",0
596238,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1980",1,"0",0
596240,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1980",2,"0",0
596242,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1985",1,"0",0
596244,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1985",2,"0",0
596246,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1990",1,"0",0
596248,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1990",2,"0",0
596250,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1995",1,"0",0
596252,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"1995",2,"0",0
596254,5,"事務所管轄","10","市民課","東京都八王子市万町","05",1,"2000",1,"921",0
